"주차ID","주차시작일","주차종료일","점포코드","점포명","표준상품코드","표준상품명","대분류코드","대분류명","소분류코드","소분류명","순매출액","판매수량","상품이익액","상품이익률","RFMP고객등급","센터입고수량","행사순매출액","재고보유일수합계","재고보유일수측정건수","재고보유일수평균","결품수","폐기수량","센터반품수량","원거래반품건수","원거래반품액","매출원가","집계일시"
"week_id","week_start_date","week_end_date","store_id","store_name","standard_product_code","standard_product_name","category_id","category_name","sub_category_id","sub_category_name","net_sales_amount","sales_quantity","profit_amount","profit_rate","rfmp_grade","center_inbound_quantity","promotion_net_sales_amount","inventory_holding_days_sum","inventory_holding_days_count","inventory_holding_days_avg","stockout_count","disposal_quantity","center_return_quantity","original_transaction_return_count","original_transaction_return_amount","cost_of_sales","aggregated_at"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000001","샘표 양조간장 501 500ml","C0010","장류","C001001","간장","634607","79","128381","0.2023","MVG","102","0","77","7","11","1","0","0","0","0","506226","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000001","샘표 양조간장 501 500ml","C0010","장류","C001001","간장","658706","82","138328","0.21","MVG","152","0","70","7","10","0","1","0","1","8354","520378","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000001","샘표 양조간장 501 500ml","C0010","장류","C001001","간장","634607","79","122098","0.1924","MVG","80","0","70","7","10","0","0","1","0","0","512509","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000001","샘표 양조간장 501 500ml","C0010","장류","C001001","간장","875597","109","159184","0.1818","MVG","183","0","49","7","7","0","0","0","0","0","716413","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000001","샘표 양조간장 501 500ml","C0010","장류","C001001","간장","1012158","126","173383","0.1713","MVG","149","678146","42","7","6","1","0","0","1","6828","838775","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000002","샘표 양조간장 501 930ml","C0010","장류","C001001","간장","1442368","124","294820","0.2044","VIP","243","0","42","7","6","1","1","0","1","10004","1147548","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000002","샘표 양조간장 501 930ml","C0010","장류","C001001","간장","1593584","137","323657","0.2031","VIP","211","0","28","7","4","0","0","1","1","9771","1269927","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000002","샘표 양조간장 501 930ml","C0010","장류","C001001","간장","1535424","132","335490","0.2185","VIP","209","0","28","7","4","1","1","1","1","11748","1199934","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000002","샘표 양조간장 501 930ml","C0010","장류","C001001","간장","1896016","163","301846","0.1592","VIP","169","872167","21","7","3","0","0","0","0","0","1594170","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000002","샘표 양조간장 501 930ml","C0010","장류","C001001","간장","2000704","172","441956","0.2209","VIP","199","0","28","7","4","1","0","0","1","9306","1558748","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000003","샘표 양조간장 701 500ml","C0010","장류","C001001","간장","1810813","131","536001","0.296","GOLD","142","851082","42","7","6","1","0","0","0","0","1274812","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000003","샘표 양조간장 701 500ml","C0010","장류","C001001","간장","2142565","155","529642","0.2472","GOLD","257","1028431","28","7","4","0","0","1","1","13685","1612923","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000003","샘표 양조간장 701 500ml","C0010","장류","C001001","간장","2280795","165","627447","0.2751","GOLD","151","1550941","28","7","4","0","0","0","1","12717","1653348","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000003","샘표 양조간장 701 500ml","C0010","장류","C001001","간장","2847538","206","804145","0.2824","GOLD","311","1623097","21","7","3","1","0","0","0","0","2043393","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000003","샘표 양조간장 701 500ml","C0010","장류","C001001","간장","2045804","148","613332","0.2998","GOLD","199","1677559","28","7","4","0","0","1","1","12855","1432472","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000004","샘표 양조간장 701 930ml","C0010","장류","C001001","간장","662865","105","200583","0.3026","MVG","157","0","35","7","5","0","0","1","1","5240","462282","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000004","샘표 양조간장 701 930ml","C0010","장류","C001001","간장","1041645","165","351451","0.3374","MVG","242","739568","28","7","4","1","0","0","1","5050","690194","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000004","샘표 양조간장 701 930ml","C0010","장류","C001001","간장","991141","157","308641","0.3114","MVG","270","0","35","7","5","0","0","1","1","5555","682500","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000004","샘표 양조간장 701 930ml","C0010","장류","C001001","간장","902759","143","274800","0.3044","MVG","259","0","35","7","5","1","1","0","0","0","627959","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000004","샘표 양조간장 701 930ml","C0010","장류","C001001","간장","1161592","184","372058","0.3203","MVG","122","0","21","7","3","0","1","0","0","0","789534","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000005","샘표 진간장 금F3 500ml","C0010","장류","C001001","간장","2398372","178","392853","0.1638","VIP","255","2206502","28","7","4","1","1","1","1","10779","2005519","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000005","샘표 진간장 금F3 500ml","C0010","장류","C001001","간장","1832464","136","398378","0.2174","VIP","116","0","35","7","5","1","0","1","0","0","1434086","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000005","샘표 진간장 금F3 500ml","C0010","장류","C001001","간장","1468666","109","301517","0.2053","VIP","212","0","49","7","7","0","1","1","0","0","1167149","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000005","샘표 진간장 금F3 500ml","C0010","장류","C001001","간장","1670776","124","331482","0.1984","VIP","107","0","42","7","6","1","1","1","0","0","1339294","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000005","샘표 진간장 금F3 500ml","C0010","장류","C001001","간장","1657302","123","319859","0.193","VIP","143","0","42","7","6","1","0","0","1","11318","1337443","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000006","샘표 진간장 금F3 930ml","C0010","장류","C001001","간장","689808","112","127270","0.1845","GOLD","111","0","35","7","5","1","1","0","0","0","562538","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000006","샘표 진간장 금F3 930ml","C0010","장류","C001001","간장","523515","85","86014","0.1643","GOLD","125","0","28","7","4","1","0","1","1","6159","437501","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000006","샘표 진간장 금F3 930ml","C0010","장류","C001001","간장","597423","97","135794","0.2273","GOLD","154","0","35","7","5","1","0","0","1","6344","461629","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000006","샘표 진간장 금F3 930ml","C0010","장류","C001001","간장","529674","86","117905","0.2226","GOLD","106","0","42","7","6","1","1","1","1","6467","411769","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000006","샘표 진간장 금F3 930ml","C0010","장류","C001001","간장","578946","94","128063","0.2212","GOLD","71","439999","42","7","6","1","0","1","1","5420","450883","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000007","샘표 진간장 S 1.7L","C0010","장류","C001001","간장","1583695","113","564587","0.3565","ACE","130","0","35","7","5","0","1","0","0","0","1019108","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000007","샘표 진간장 S 1.7L","C0010","장류","C001001","간장","1401500","100","498934","0.356","ACE","146","0","28","7","4","1","0","0","0","0","902566","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000007","샘표 진간장 S 1.7L","C0010","장류","C001001","간장","1457560","104","522244","0.3583","ACE","153","0","42","7","6","1","0","0","1","13034","935316","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000007","샘표 진간장 S 1.7L","C0010","장류","C001001","간장","1737860","124","577491","0.3323","ACE","167","938444","28","7","4","0","1","1","0","0","1160369","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000007","샘표 진간장 S 1.7L","C0010","장류","C001001","간장","2158310","154","776344","0.3597","ACE","160","0","28","7","4","1","0","1","1","14716","1381966","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000008","샘표 국간장 500ml","C0010","장류","C001001","간장","630129","141","190551","0.3024","GOLD","118","0","28","7","4","1","1","1","1","3754","439578","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000008","샘표 국간장 500ml","C0010","장류","C001001","간장","688226","154","213901","0.3108","GOLD","157","0","28","7","4","0","1","1","1","4067","474325","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000008","샘표 국간장 500ml","C0010","장류","C001001","간장","773137","173","219494","0.2839","GOLD","276","587584","21","7","3","1","0","0","0","0","553643","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000008","샘표 국간장 500ml","C0010","장류","C001001","간장","799951","179","250785","0.3135","GOLD","245","0","21","7","3","0","0","0","1","3843","549166","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000008","샘표 국간장 500ml","C0010","장류","C001001","간장","451369","101","137938","0.3056","GOLD","162","0","35","7","5","0","1","0","0","0","313431","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000009","샘표 국간장 930ml","C0010","장류","C001001","간장","1128574","151","400192","0.3546","VIP","168","0","14","7","2","1","1","0","1","7026","728382","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000009","샘표 국간장 930ml","C0010","장류","C001001","간장","1091204","146","354532","0.3249","VIP","143","829315","14","7","2","1","1","0","0","0","736672","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000009","샘표 국간장 930ml","C0010","장류","C001001","간장","769822","103","258198","0.3354","VIP","95","0","21","7","3","1","1","1","1","6129","511624","2026-08-17T18:00:00+09:00"
"2026-W33","2026-08-10","2026-08-16","2301","강변점","8801000000009","샘표 국간장 930ml","C0010","장류","C001001","간장","1300476","174","444373","0.3417","VIP","225","0","14","7","2","1","0","1","1","6353","856103","2026-08-17T18:00:00+09:00"
"2026-W34","2026-08-17","2026-08-23","2301","강변점","8801000000009","샘표 국간장 930ml","C0010","장류","C001001","간장","1420060","190","442775","0.3118","VIP","327","0","14","7","2","0","0","0","1","6353","977285","2026-08-17T18:00:00+09:00"
"2026-W30","2026-07-20","2026-07-26","2301","강변점","8801000000010","샘표 조림간장 500ml","C0010","장류","C001001","간장","1330752","96","451125","0.339","ACE","111","851681","42","7","6","1","0","0","1","13308","879627","2026-08-17T18:00:00+09:00"
"2026-W31","2026-07-27","2026-08-02","2301","강변점","8801000000010","샘표 조림간장 500ml","C0010","장류","C001001","간장","942616","68","318698","0.3381","ACE","149","0","42","7","6","0","0","1","0","0","623918","2026-08-17T18:00:00+09:00"
"2026-W32","2026-08-03","2026-08-09","2301","강변점","8801000000010","샘표 조림간장 500ml","C0010","장류","C001001","간장","790134","57","290848","0.3681","ACE","87","0","49","7","7","1","0","0","0","0","499286","2026-08-17T18:00:00+09:00"
